Title,Artist,Featuring,Featured_Artist
Dear Future Husband,Meghan Trainor,0,Meghan Trainor
Marvin Gaye,Charlie Puth ,1, Meghan Trainor
Like I'm Gonna Lose You,Meghan Trainor ,1, John Legend
The Hanging Tree,James Newton Howard ,1, Jennifer Lawrence
CoCo,O.T. Genasis,0,O.T. Genasis
Lay Me Down,Sam Smith,0,Sam Smith
Tuesday,ILoveMakonnen ,1, Drake
Hit the Quan,iLoveMemphis,0,iLoveMemphis
Downtown,Macklemore & Ryan Lewis ,1," Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster Caz"
House Party,Sam Hunt,0,Sam Hunt
Ayo,Chris Brown and Tyga,0,Chris Brown and Tyga
Kick the Dust Up,Luke Bryan,0,Luke Bryan
Blessings,Big Sean ,1, Drake
